model,mse,r2_score
RidgeRegression,1866.2714232559415,0.5302963949604628
LassoRegression,1866.7637756774716,0.5301724795939942
RandomForestRegressor,1770.2319733522904,0.5544676249775087
XGBRegressor,1689.9346316782335,0.5746768777096734
