model,test_mse,test_r2_score,test_rmse
Linear Regression,2135.265735988354,0.4625958467705763,46.20893567253366
Ridge Regression,2136.1515789917,0.4623728976073488,46.21851987019597
Lasso Regression,2136.096458999271,0.462386770219248,46.21792356866837
RandomForest Regressor,1996.21458749334,0.4975922706128541,44.67901730671054
XGB Regressor,1979.384363832277,0.5018281050304607,44.490272687771615
